"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"550",752639,"Ground Water","266022","542268",NA,"WATER",533480,2013-05-14,NA,NA,NA,NA,NA,NA,0.4,TRUE
"551",752639,"Ground Water","266022","542268",NA,"WATER",538742,2014-06-17,NA,NA,NA,NA,NA,NA,0.55,TRUE
"552",752657,"Ground Water","15932","0006882",78,"WATER",533528,2013-04-01,NA,NA,NA,NA,NA,NA,0.00071,TRUE
"553",752658,"Ground Water",NA,NA,NA,"WATER",533526,2013-02-14,NA,NA,NA,NA,NA,NA,0.00222,TRUE
"554",752659,"Ground Water","106932","0104913",255,"WATER",533524,2013-04-03,NA,NA,NA,NA,NA,NA,0.00135,TRUE
"555",752660,"Ground Water","286976","3652597",220,"WATER",535186,2013-01-17,NA,NA,NA,NA,NA,NA,0.00052,TRUE
"556",752663,"Ground Water","260980","0532922a",90,"WATER",533534,2013-05-31,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"557",752664,"Ground Water",NA,NA,NA,"WATER",533532,2013-04-25,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"558",752665,"Ground Water","140790","0256774",830,"WATER",535351,2013-07-02,NA,NA,NA,NA,NA,NA,5.06,TRUE
"559",752665,"Ground Water","140790","0256774",830,"WATER",535883,2013-12-18,NA,NA,NA,NA,NA,NA,4.49,TRUE
"560",752667,"Ground Water","117753","0209748",315,"WATER",533694,2013-05-28,NA,NA,NA,NA,NA,NA,0.001,TRUE
"561",752669,"Ground Water",NA,NA,NA,"WATER",533640,2013-06-11,NA,NA,NA,NA,NA,NA,0.005,TRUE
"562",752672,"Ground Water","256173",NA,NA,"WATER",533707,2013-06-26,NA,NA,NA,NA,NA,NA,19,TRUE
"563",752686,"Ground Water","203622","416342",1120,"WATER",533783,2013-04-24,NA,NA,NA,NA,NA,NA,11.6,TRUE
"564",752686,"Ground Water","203622","416342",1120,"WATER",540278,2014-09-10,NA,NA,NA,NA,NA,NA,18.1,TRUE
"565",752687,"Ground Water","87944","9065849",390,"WATER",533789,2013-05-14,NA,NA,NA,NA,NA,NA,2.58,TRUE
"566",752687,"Ground Water","87944","9065849",390,"WATER",540485,2014-09-10,NA,NA,NA,NA,NA,NA,3.25,TRUE
