"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","methane","ethane","propane","methane_units","delta_13c_c1","d13c_units","fraction","origin","wattenberg"
"746",757157,"Domestic Well",523527,4434808,"179265","0368779",1000,"GAS",563808,2017-11-15,77.41,0.11,0.001,"MOL %",-70.03,"per mil",697.387387387387,"Microbial",""
"747",755905,"Domestic Well",511880,4430833,"303127","3676781",850,"GAS",560923,2017-08-31,60.5,0.07,2e-04,"MOL %",-71.81,"per mil",861.823361823362,"Microbial",""
"748",755881,"Domestic Well",512867,4435904,"17560","9062458",552,"GAS",560986,2017-08-24,64.57,0.1,1e-04,"MOL %",-78.45,"per mil",645.054945054945,"Microbial",""
"749",750142,"Ground Water",509562,4432978,"259211","0528355",740,"GAS",560992,2017-08-23,42.82,0.05,3e-04,"MOL %",-72.54,"per mil",851.292246520875,"Microbial",""
"750",755902,"Commercial",509592,4433271,"45561","0390738",760,"GAS",561000,2017-08-31,42.88,0.05,7e-04,"MOL %",-71.94,"per mil",845.759368836292,"Microbial",""
"751",755920,"Commercial",513080,4436607,"67416","3631544",600,"GAS",561062,2017-09-07,55.97,0.07,1e-04,"MOL %",-72.82,"per mil",798.430813124108,"Microbial",""
"752",755313,"Domestic Well",511580,4430299,"192963","0395371",755,"GAS",555706,2016-12-20,42.98,0.04,1e-04,"MOL %",-71.45,"per mil",1071.82044887781,"Microbial",""
"753",758581,"Stock or  Irrigation",544328,4442598,"55594","0465465C",660,"GAS",555763,2017-02-28,15.16,0.01,0.01,"MOL %",-74.1,"per mil",758,"Microbial",""
"754",755910,"Domestic Well",508931,4432490,"291522","3660202",720,"GAS",561008,2017-09-05,40.95,0.04,1e-04,"MOL %",-72.66,"per mil",1021.1970074813,"Microbial",""
"755",755649,"Domestic Well",508955,4431182,"68758","9065150",NA,"GAS",561016,2017-09-06,38.12,0.04,1e-04,"MOL %",-72.93,"per mil",950.623441396509,"Microbial",""
"756",755896,"Domestic Well",511422,4433342,"244824","0497425",0,"GAS",561024,2017-08-28,47.95,0.07,0.0015,"MOL %",-71.38,"per mil",670.629370629371,"Microbial",""
