"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"156",474953,704373,"Domestic Well",264449,4371656,39.46,-107.73,"SWNE",11,"7 S","93 W","6","GARFIELD                           ",NA,"",NA,"5/25/2004 0:00:00","WATER","",71380584,"UnSpecified-Older data may not contain method info","TOLUENE",14,"","ug/L","",2
"157",475099,704475,"Domestic Well",272504,4376758,39.51,-107.64,"NESE",22,"6 S","92 W","6","GARFIELD                           ",NA,"",NA,"6/3/2005 0:00:00","WATER","",71330871,"UnSpecified-Older data may not contain method info","TOLUENE",14,"","ug/L","",5
"158",475211,704533,"Domestic Well",277172,4375326,39.49,-107.59,"NESE",30,"6 S","91 W","6","GARFIELD                           ",NA,"",NA,"2/6/2006 0:00:00","WATER","",71333673,"UnSpecified-Older data may not contain method info","TOLUENE",2.1,"","ug/L","",1
"159",475211,704533,"Domestic Well",277172,4375326,39.49,-107.59,"NESE",30,"6 S","91 W","6","GARFIELD                           ",NA,"",NA,"2/6/2006 0:00:00","WATER","",71333645,"UnSpecified-Older data may not contain method info","BENZENE",1,"","ug/L","",0.5
"160",475228,704551,"Ground Water",257026,4377631,39.51,-107.82,"",19,"6 S","93 W","6","GARFIELD                           ",NA,"",200,"10/4/2007 0:00:00","WATER","",71375634,"SW-846 8260 Volatile Organic Compounds by GC/MS","TOTAL XYLENES",4.1,"","ug/L","",3
"161",475228,704551,"Ground Water",257026,4377631,39.51,-107.82,"",19,"6 S","93 W","6","GARFIELD                           ",NA,"",200,"10/4/2007 0:00:00","WATER","",71375633,"SW-846 8260 Volatile Organic Compounds by GC/MS","TOLUENE",3.1,"","ug/L","",1
"162",475228,704551,"Ground Water",257026,4377631,39.51,-107.82,"",19,"6 S","93 W","6","GARFIELD                           ",NA,"",200,"10/4/2007 0:00:00","WATER","",71375605,"SW-846 8260 Volatile Organic Compounds by GC/MS","BENZENE",1.3,"","ug/L","",1
"163",475336,704597,"Domestic Well",521049,4452663,40.22,-104.75,"NWSW",14,"3 N","66 W","6","WELD                               ",258457,"0525972 ",465,"12/15/2005 0:00:00","WATER","Complaint Investigation",71701280,"UnSpecified-Older data may not contain method info","TOLUENE",89,"","ug/L","",2
"164",475357,704612,"Domestic Well",514505,4447816,NA,NA,"NWSW",31,"3 N","66 W","6","WELD                               ",262907,"0537649 ",360,"2/8/2006 0:00:00","WATER","Complaint Investigation",71701347,"UnSpecified-Older data may not contain method info","TOLUENE",53,"","ug/L","",1
"165",475358,704612,"Domestic Well",514505,4447816,NA,NA,"NWSW",31,"3 N","66 W","6","WELD                               ",262907,"0537649 ",360,"3/27/2006 0:00:00","WATER","Complaint Investigation",71701352,"UnSpecified-Older data may not contain method info","TOLUENE",52,"","ug/L","",1
"166",475383,704624,"Ground Water",373468,4509719,40.72,-106.49,"",21,"9 n","81 w","6","JACKSON                            ",NA,"",NA,"3/28/2006 0:00:00","WATER","",71764112,"UnSpecified-Older data may not contain method info","BENZENE",35,"","ug/L","",1
