"","SampleID","FacilityID","UtmX83","UtmY83","Sample.Date","Matrix","METHANE","ETHANE","PROPANE","DELTA 13C C1","fraction_c13c1"
"42",467306,701915,265604,4127578,"5/1/2002 0:00:00","GAS",342.9,0.1,0,-67.79,3429
"43",467303,701915,265604,4127578,"1/31/2001 0:00:00","GAS",87.3,0.055,0,-68.91,1587.27272727273
"44",467309,701915,265604,4127578,"4/26/2005 0:00:00","GAS",244.3,0.1,0,-66.07,2443
"45",467563,702988,242858,4113007,"8/8/1998 0:00:00","GAS",86.5,0.7,0.023,-29.57,119.640387275242
"46",467590,702990,244514,4104834,"7/28/2009 0:00:00","GAS",561.4,2,0,-46.05,280.7
"47",467592,702990,244514,4104834,"2/1/2010 0:00:00","GAS",641.4,2.7,0.03,-44.76,234.945054945055
"48",467573,702990,244514,4104834,"5/6/1998 0:00:00","GAS",496.2,1.4,0.01,-44.33,351.914893617021
"49",467594,702990,244514,4104834,"6/2/2010 0:00:00","GAS",493.9,2.2,0.02,-45.15,222.477477477477
"50",467575,702990,244514,4104834,"3/1/2005 0:00:00","GAS",762.1,1.8,0.088,-43.06,403.654661016949
"51",467589,702990,244514,4104834,"2/3/2009 0:00:00","GAS",424.2,1.4,0,-45.77,303
"52",467625,702995,244289,4109481,"6/19/1998 0:00:00","GAS",184.7,5.9,0.6,-41.36,28.4153846153846
"53",467636,702997,243671,4114492,"6/18/1998 0:00:00","GAS",556.6,2.6,0.1,-42.35,206.148148148148
"54",467686,703004,240797,4113222,"6/13/2006 0:00:00","GAS",167.7,0.2,0,-36.63,838.5
"55",468026,703204,240338,4110033,"12/4/2000 0:00:00","GAS",89.6,5.5,1.5,-42.29,12.8
"56",541802,703281,525866,4458243,"2/25/2015 11:55:00","GAS",9.69,1.4,0.07,-44.34,6.59183673469388
"57",468405,703313,244649,4110459,"2/23/2001 0:00:00","GAS",112,0.2,0,-42.68,560
"58",468403,703313,244649,4110459,"6/22/2000 0:00:00","GAS",44.2,0.2,0.006,-43.25,214.563106796117
