"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","wattenberg","btex_sampled","ch4_sampled","btex_detected","ch4_detected","methane","ethane","propane","fraction","delta_13c_c1","origin"
"33","700884","Ground Water",537255,4453973,"7063",NA,61,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"34","700885","Ground Water",535657,4451529,"15651",NA,56,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"35","700886","Ground Water",536783,4454646,"6202",NA,60,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"36","700887","Ground Water",535201,4440590,"6288",NA,40,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"37","700888","Ground Water",558077,4456805,"12167",NA,106,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"38","700889","Ground Water",551025,4466295,"116236",NA,133,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"39","700890","Ground Water",563985,4461703,"28806",NA,73,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"40","700891","Ground Water",560876,4456837,"14441",NA,85,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"41","700892","Ground Water",554620,4433857,"28619",NA,42,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"42","700893","Ground Water",549736,4436654,"11243",NA,120,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"43","700894","Ground Water",541582,4437293,"5864",NA,57,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"44","700895","Ground Water",544943,4436605,"10599",NA,42,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"45","700897","Ground Water",541124,4460784,"4064",NA,70,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"46","700898","Ground Water",536018,4452293,"7062",NA,64,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"47","700900","Ground Water",563997,4460097,"55836",NA,96,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"48","700902","Ground Water",554800,4460330,"126004",NA,60,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"49","700903","Ground Water",553996,4462419,"96275",NA,38,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"50","700904","Ground Water",552511,4445910,"141486",NA,108,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"51","700905","Ground Water",552511,4445910,"13963",NA,95,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"52","700906","Ground Water",543373,4431783,"2728",NA,42,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"53","700907","Ground Water",547578,4433611,"170","C620170",115,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"54","700911","Ground Water",557168,4461762,"146568",NA,22,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"55","700912","Ground Water",564136,4462770,"146841",NA,98,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"56","702121","Ground Water",518778,4440833,"164715","0338229",650,TRUE,TRUE,TRUE,FALSE,TRUE,57.67,0.04,NA,NA,-69.78,"Mixed"
"57","702122","Domestic Well",511975,4433627,"174778",NA,673,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"58","702973","Domestic Well",533562,4460312,"55874",NA,244,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"59","703206","Domestic Well",511357,4433289,"76216",NA,650,TRUE,TRUE,TRUE,FALSE,FALSE,25.44,0.02,NA,NA,-72.92,"Mixed"
"60","703208","Domestic Well",512707,4434833,"38974",NA,603,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
