"","OBJECTID","facility_id","facility_type","permit_number","receipt_number","ch4_sampled","btex_sampled","nearest_og","nearest_scp","nearest_cscp","btex_detected","ch4_detected"
"891",1044,"754013","Commercial","54136","0462216","yes","yes",137.902139214734,962.875417007152,3482.82086317689,"btex not detected","ch4 detected"
"892",1045,"754014","Domestic Well","245188","0497451","yes","yes",132.382022948737,554.570868550697,3617.64428107966,"btex not detected","ch4 detected"
"893",1046,"754022","Ground Water","272956","3612977","yes","yes",164.760432143157,158.06742913788,711.530969202676,"btex not detected","ch4 detected"
"894",1047,"754040","Domestic Well","81971","9065648","yes","yes",239.240464804765,517.105245373755,1237.92340815702,"btex not detected","ch4 detected"
"895",1048,"754041","Domestic Well","44495","9064401","yes","yes",206.021843502091,1001.75271109913,2141.43012218828,"btex not detected","ch4 detected"
"896",1049,"754042","Domestic Well","231319","0471200","yes","yes",142.425419079601,826.496298312327,2047.58900466657,"btex not detected","ch4 detected"
"897",1050,"754043","Domestic Well","262516","0536060","yes","yes",155.540991381693,345.548052557101,1581.53810498834,"btex not detected","ch4 detected"
"898",1051,"754044","Domestic Well","43282","0360847","yes","yes",100.439036235918,372.746514923159,372.746514923159,"btex not detected","ch4 detected"
"899",1052,"754045","Domestic Well","87176","9065825","yes","yes",554.993693657865,1374.59419230758,3169.27754239273,"btex not detected","ch4 detected"
"900",1053,"754046","Domestic Well","222262","0452528A","yes","yes",126.463433450148,525.447108394112,937.404812591223,"btex not detected","ch4 not detected"
"901",1054,"754047","Domestic Well","68777","0489785","yes","yes",93.1074647920348,289.437638768291,2321.49452352978,"btex not detected","ch4 not detected"
"902",1055,"754048","Domestic Well","92099","9065939","yes","yes",349.824241584256,1077.94057154184,1077.94057154184,"btex not detected","ch4 detected"
"903",1056,"754049","Domestic Well","238210","0485439","yes","yes",421.864907286681,1338.21760362004,2422.82225137877,"btex not detected","ch4 detected"
"904",1058,"754051","Stock or  Irrigation","112047","0200278A","yes","yes",239.576710053377,505.498839902525,967.650399436993,"btex not detected","ch4 not detected"
"905",1059,"754055","Ground Water","160051","0324245A","yes","yes",262.148812699962,414.580212185535,420.273729828938,"btex not detected","ch4 not detected"
"906",1060,"754060","Ground Water","926","C620926","yes","yes",735.751316682478,468.346991115195,4934.53350080421,"btex not detected","ch4 not detected"
"907",1061,"754063","Domestic Well","68794","3643409","yes","yes",84.2140130857092,337.218673434347,3294.81646644931,"btex not detected","ch4 detected"
"908",1062,"754064","Domestic Well","228949","0465615","yes","yes",175.931804969994,1961.47023098655,1963.57444544776,"btex not detected","ch4 detected"
"909",1063,"754065","Domestic Well","45529","9064446","yes","yes",260.447691485258,403.263077590286,1051.70682658988,"btex not detected","ch4 detected"
"910",1064,"754066","Commercial","61813","0525693","yes","yes",342.720002334267,1047.99426036822,2094.80147465644,"btex not detected","ch4 detected"
