facility_id,facility_type,utm_x83,utm_y83,well_depth,matrix,sample_id,sample_date,btex_above_mcl,benzene_ugl,toluene_ugl,ethylbenzene_ugl,mp_xylenes_ugl,o_xylene_ugl,tot_xylenes_ugl,methane_mgl,ethane_mgl,propane_mgl,butane_mgl,isobutane_mgl,pentane_mgl,hexanes_mgl,sum_btex,sum_alk_2-6,sum_alk_3-6,sum_alk_4-6,detected_btex,detected_ch4,detected_ethane_26,detected_propane_36,detected_butane_46,sampled_for_btex,sampled_for_ch4,sampled_for_alkanes,wattenberg,methane,ethane,propane,delta_13c_c1,fraction,origin,aquifer,notes,more_information,permit_number,receipt_number
700018,Domestic Well,515919,4450104,361,WATER,561236,2017-09-14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39.45,0.11,0.01,-70.1,328.75000000000006,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,564123,2017-12-07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,41.85,0.11,0.01,-70.57,348.75,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,564123,2017-12-07,FALSE,0,0,0,0,0,0,3.43,0.02,0.0052,0,0,0,0,0,0.0252,0.0052,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,41.85,0.11,0.01,-70.57,348.75,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,564127,2017-12-07,FALSE,0,0,0,0,0,0,11,0.06,0.01,0,0,0,0,0,0.06999999999999999,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,41.85,0.11,0.01,-70.57,348.75,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,566075,2018-03-12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,43.09,0.11,0.01,-70.29,359.08333333333337,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,566075,2018-03-12,FALSE,0,0,0,0,0,0,5.26,0.03,0.0063,0,0,0,0,0,0.0363,0.0063,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,43.09,0.11,0.01,-70.29,359.08333333333337,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,566079,2018-03-12,FALSE,0,0,0,0,0,0,12,0.06,0.01,0,0,0,0,0,0.06999999999999999,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,43.09,0.11,0.01,-70.29,359.08333333333337,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,601467,2018-05-23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,42.08,0.1,0.01,-70.6,382.5454545454545,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,601467,2018-05-23,FALSE,0,0,0,0,0,0,6.04,0.03,0.0074,0,0,0,0,0,0.0374,0.0074,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,42.08,0.1,0.01,-70.6,382.5454545454545,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,601952,2018-08-22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,38.7,0.15,0.02,-69.44,227.64705882352945,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,601952,2018-08-22,FALSE,0,0,0,0,0,0,3.61,0.03,0.0081,0,0,0,0,0,0.038099999999999995,0.0081,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,38.7,0.15,0.02,-69.44,227.64705882352945,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,602979,2018-11-06,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,43.88,0.1,0.01,-71.34,398.90909090909093,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,602979,2018-11-06,FALSE,0,0,0,0,0,0,4.53,0.03,0.006,0,0,0,0,0,0.036,0.006,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,43.88,0.1,0.01,-71.34,398.90909090909093,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,602981,2018-11-06,FALSE,0,0,0,0,0,0,11,0.05,0.0091,0,0,0,0,0,0.0591,0.0091,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,43.88,0.1,0.01,-71.34,398.90909090909093,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,605556,2019-01-30,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,42.5,0.1,0.01,-70.55,386.3636363636364,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,605556,2019-01-30,FALSE,0,0,0,0,0,0,5.02,0.03,0.0062,0,0,0,0,0,0.036199999999999996,0.0062,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,42.5,0.1,0.01,-70.55,386.3636363636364,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,605558,2019-01-30,FALSE,0,0,0,0,0,0,11,0.05,0.0088,0,0,0,0,0,0.058800000000000005,0.0088,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,42.5,0.1,0.01,-70.55,386.3636363636364,microbial,NA,NA,NA,18396,9062513
